,Brand,Movement,Case material,Bracelet material,Gender,Price,Shape,Crystal,Dial,Bracelet color,Clasp,Total Sale,Seller Reviews,Year,Volume
12,Zeppelin,Quartz,steel,Leather,Men's watch/Unisex,22192.5,Circular,Mineral Glass,Grey,Brown,Buckle,2328.0,1742.0,2024-01-01,Medium Sale
14,Formex,Automatic,Carbon,Textile,Men's watch/Unisex,164917.5,Rectangular,Sapphire crystal,Grey,Black,Buckle,1072.0,940.0,2024-01-01,Medium Sale
17,Vostok,Automatic,steel,Steel,Men's watch/Unisex,11467.5,Rectangular,Glass,White,Steel,Fold clasp,804.0,551.0,2024-01-01,Medium Sale
18,Ingersoll,Automatic,steel,Animal skin,Men's watch/Unisex,28957.5,Circular,Mineral Glass,Gold,Black,Buckle,14626.0,7424.0,2024-01-01,High Sale
19,Omega,Automatic,steel,Rubber,Men's watch/Unisex,412500.0,Circular,Sapphire crystal,Black,Black,Buckle,254.0,128.0,2024-01-01,Low Sale
23,Formex,Automatic,Carbon,Textile,Men's watch/Unisex,147097.5,Rectangular,Sapphire crystal,Blue,Black,Buckle,1072.0,940.0,2024-01-01,Medium Sale
27,Mühle Glashütte,Automatic,steel,Animal skin,Men's watch/Unisex,311932.5,Rectangular,Sapphire crystal,Blue,Blue,Double-fold clasp,14642.0,448.0,2000-01-01,High Sale
30,Tudor,Automatic,steel,Steel,Men's watch/Unisex,264000.0,Circular,Sapphire crystal,Black,Steel,Fold clasp,414.0,263.0,2024-01-01,Low Sale
31,Glashütte Original,Automatic,steel,Textile,Men's watch/Unisex,977625.0,Circular,Sapphire crystal,Grey,Silver,Fold clasp,1281.0,798.0,2024-01-01,Medium Sale
39,Oris,Automatic,steel,Steel,Men's watch/Unisex,177375.0,Circular,Sapphire crystal,Black,Silver,Buckle,3087.0,2339.0,2024-01-01,High Sale
43,Norqain,Automatic,steel,Leather,Men's watch/Unisex,312675.0,Rectangular,Sapphire crystal,Black,Brown,Buckle,1420.0,876.0,2024-01-01,Medium Sale
48,NOMOS,Manual winding,steel,Leather,Men's watch/Unisex,114097.5,Circular,Sapphire crystal,White,Black,Buckle,722.0,548.0,2024-01-01,Medium Sale
54,Venezianico,Automatic,steel,Steel,Men's watch/Unisex,50325.0,Circular,Sapphire crystal,Green,Steel,Buckle,816.0,670.0,2024-01-01,Medium Sale
60,Zeppelin,Automatic,steel,Leather,Men's watch/Unisex,44467.5,Circular,Mineral Glass,Champagne,Brown,Buckle,2328.0,1742.0,2024-01-01,Medium Sale
