,Movement,Gender,Dial,Bracelet color,Price
0,Quartz,Men's watch/Unisex,Grey,Brown,22192.5
1,Automatic,Men's watch/Unisex,Grey,Black,164917.5
2,Automatic,Men's watch/Unisex,White,Steel,11467.5
3,Automatic,Men's watch/Unisex,Gold,Black,28957.5
4,Automatic,Men's watch/Unisex,Black,Black,412500.0
5,Automatic,Men's watch/Unisex,Blue,Black,147097.5
6,Automatic,Men's watch/Unisex,Blue,Blue,311932.5
7,Automatic,Men's watch/Unisex,Black,Steel,264000.0
8,Automatic,Men's watch/Unisex,Grey,Silver,977625.0
9,Automatic,Men's watch/Unisex,Black,Silver,177375.0
10,Automatic,Men's watch/Unisex,Black,Brown,312675.0
11,Manual winding,Men's watch/Unisex,White,Black,114097.5
12,Automatic,Men's watch/Unisex,Green,Steel,50325.0
13,Automatic,Men's watch/Unisex,Champagne,Brown,44467.5
14,Quartz,Men's watch/Unisex,Black,Black,49005.0
15,Automatic,Men's watch/Unisex,Brown,Black,465547.5
16,Quartz,Men's watch/Unisex,Green,Silver,20460.0
17,Automatic,Men's watch/Unisex,Blue,Blue,2887500.0
18,Automatic,Men's watch/Unisex,Black,Black,132165.0
19,Automatic,Men's watch/Unisex,White,White,138187.5
20,Manual winding,Men's watch/Unisex,Black,Steel,192555.0
21,Automatic,Women's watch,Gold,Brown,2227500.0
22,Automatic,Men's watch/Unisex,Black,Black,53625.0
23,Automatic,Men's watch/Unisex,Black,Black,208725.0
24,Automatic,Men's watch/Unisex,Blue,Blue,106425.0
25,Automatic,Men's watch/Unisex,Silver,Brown,123750.0
26,Automatic,Men's watch/Unisex,Black,Brown,82912.5
27,Automatic,Men's watch/Unisex,Gold (solid),Black,25822.5
28,Automatic,Men's watch/Unisex,Champagne,Black,173745.0
29,Automatic,Men's watch/Unisex,Grey,Steel,495000.0
30,Quartz,Men's watch/Unisex,Black,Black,17737.5
31,Automatic,Men's watch/Unisex,Silver,Brown,276292.5
32,Quartz,Women's watch,Champagne,Black,24337.5
33,Automatic,Men's watch/Unisex,Blue,Black,1509667.5
34,Quartz,Men's watch/Unisex,Black,Gold,64515.0
35,Automatic,Men's watch/Unisex,Black,Brown,84645.0
36,Automatic,Men's watch/Unisex,Black,Brown,30277.5
37,Automatic,Men's watch/Unisex,Black,Black,658762.5
38,Quartz,Men's watch/Unisex,Green,Gold,22192.5
39,Automatic,Men's watch/Unisex,Blue,Black,71197.5
40,Automatic,Men's watch/Unisex,Black,Brown,16335.0
41,Automatic,Women's watch,Champagne,Brown,99000.0
42,Quartz,Men's watch/Unisex,White,Steel,25822.5
43,Automatic,Men's watch/Unisex,Blue,Blue,173167.5
44,Automatic,Men's watch/Unisex,Blue,Brown,115417.5
45,Automatic,Men's watch/Unisex,Blue,Black,121192.5
46,Automatic,Men's watch/Unisex,White,Steel,142642.5
47,Automatic,Men's watch/Unisex,Green,Steel,197917.5
48,Automatic,Men's watch/Unisex,Blue,Blue,68392.5
49,Automatic,Men's watch/Unisex,Black,Black,257565.0
50,Manual winding,Men's watch/Unisex,Black,Black,177375.0
51,Automatic,Men's watch/Unisex,Silver,Black,328845.0
52,Automatic,Men's watch/Unisex,Black,Silver,43560.0
53,Manual winding,Men's watch/Unisex,Silver,Black,824917.5
54,Automatic,Men's watch/Unisex,White,Brown,1237500.0
55,Automatic,Men's watch/Unisex,White,Steel,593587.5
56,Automatic,Men's watch/Unisex,Silver,Brown,1014750.0
57,Automatic,Men's watch/Unisex,White,Silver,84645.0
58,Automatic,Men's watch/Unisex,Black,Brown,793237.5
59,Automatic,Men's watch/Unisex,Black,Steel,101557.5
60,Automatic,Men's watch/Unisex,Silver,Black,577500.0
61,Automatic,Men's watch/Unisex,Blue,Blue,267217.5
62,Automatic,Men's watch/Unisex,Black,Silver,74002.5
63,Manual winding,Men's watch/Unisex,Black,Brown,2584725.0
64,Quartz,Men's watch/Unisex,Blue,Blue,21202.5
65,Quartz,Men's watch/Unisex,Silver,Blue,329917.5
66,Manual winding,Men's watch/Unisex,White,Black,489307.5
67,Quartz,Men's watch/Unisex,Blue,Brown,13365.0
68,Automatic,Men's watch/Unisex,Silver,Black,2474175.0
69,Automatic,Men's watch/Unisex,Blue,Steel,50325.0
70,Quartz,Women's watch,Blue,Silver,13282.5
71,Automatic,Men's watch/Unisex,Blue,Black,100897.5
72,Automatic,Men's watch/Unisex,Blue,Black,86625.0
73,Automatic,Men's watch/Unisex,Black,Brown,107910.0
74,Automatic,Men's watch/Unisex,Brown,Black,125647.5
75,Quartz,Men's watch/Unisex,Black,Green,17737.5
76,Automatic,Men's watch/Unisex,Black,Steel,164917.5
77,Automatic,Men's watch/Unisex,Silver,Brown,659587.5
78,Quartz,Men's watch/Unisex,Red,Silver,70867.5
79,Automatic,Women's watch,White,Steel,49995.0
80,Automatic,Men's watch/Unisex,White,Brown,267217.5
81,Manual winding,Men's watch/Unisex,Silver,Black,160462.5
82,Automatic,Men's watch/Unisex,Grey,Steel,1072500.0
83,Automatic,Men's watch/Unisex,Champagne,Brown,102465.0
84,Quartz,Men's watch/Unisex,Silver,Brown,24832.5
85,Manual winding,Men's watch/Unisex,Champagne,Brown,32092.5
86,Manual winding,Men's watch/Unisex,Silver (solid),Black,909150.0
87,Automatic,Men's watch/Unisex,Black,Black,151057.5
88,Manual winding,Men's watch/Unisex,White,Steel,271837.5
89,Automatic,Men's watch/Unisex,Green,Steel,112777.5
90,Automatic,Men's watch/Unisex,Blue,Blue,1225537.5
91,Automatic,Men's watch/Unisex,Black,Silver,225060.0
