,Price,Case material,Bracelet material,Shape,Crystal,Clasp
0,1830881.25,steel,Leather,Circular,Mineral Glass,Buckle
1,13605693.75,Carbon,Textile,Rectangular,Sapphire crystal,Buckle
2,946068.75,steel,Steel,Rectangular,Glass,Fold clasp
3,2388993.75,steel,Animal skin,Circular,Mineral Glass,Buckle
4,34031250.0,steel,Rubber,Circular,Sapphire crystal,Buckle
5,12135543.75,Carbon,Textile,Rectangular,Sapphire crystal,Buckle
6,25734431.25,steel,Animal skin,Rectangular,Sapphire crystal,Double-fold clasp
7,21780000.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
8,80654062.5,steel,Textile,Circular,Sapphire crystal,Fold clasp
9,14633437.5,steel,Steel,Circular,Sapphire crystal,Buckle
10,25795687.5,steel,Leather,Rectangular,Sapphire crystal,Buckle
11,9413043.75,steel,Leather,Circular,Sapphire crystal,Buckle
12,4151812.5,steel,Steel,Circular,Sapphire crystal,Buckle
13,3668568.75,steel,Leather,Circular,Mineral Glass,Buckle
14,4042912.5,steel,Rubber,Circular,Sapphire crystal,Buckle
15,38407668.75,steel,Rubber,Circular,Sapphire crystal,Fold clasp
16,1687950.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
17,238218750.0,gold,Animal skin,Circular,Sapphire crystal,Buckle
18,10903612.5,steel,Leather,Circular,Sapphire crystal,Buckle
19,11400468.75,steel,Rubber,Rectangular,Sapphire crystal,"Fold clasp, hidden"
20,15885787.5,steel,Leather,Rectangular,Sapphire crystal,Fold clasp
21,183768750.0,gold,Leather,Circular,Sapphire crystal,Buckle
22,4424062.5,Plastic,Textile,Circular,Mineral Glass,Buckle
23,17219812.5,steel,Leather,Rectangular,Mineral Glass,Buckle
24,8780062.5,steel,Rubber,Rectangular,Sapphire crystal,Buckle
25,10209375.0,gold,Animal skin,Circular,Glass,Buckle
26,6840281.25,steel,Rubber,Circular,Sapphire crystal,Buckle
27,2130356.25,steel,Animal skin,Circular,Plastic,Buckle
28,14333962.5,steel,Leather,Circular,Sapphire crystal,Buckle
29,40837500.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
30,1463343.75,steel,Animal skin,Circular,Mineral Glass,Buckle
31,22794131.25,steel,Leather,Circular,Sapphire crystal,Buckle
32,2007843.75,steel,Leather,Rectangular,Sapphire crystal,Buckle
33,124547568.75,Carbon,Leather,Circular,Sapphire crystal,Buckle
34,5322487.5,steel,Rubber,Circular,Sapphire crystal,Fold clasp
35,6983212.5,steel,Leather,Circular,Sapphire crystal,Buckle
36,2497893.75,steel,Leather,Circular,Sapphire crystal,Buckle
37,54347906.25,steel,Rubber,Circular,Sapphire crystal,Double-fold clasp
38,1830881.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
39,5873793.75,steel,Rubber,Circular,Sapphire crystal,Buckle
40,1347637.5,steel,Animal skin,Circular,Mineral Glass,Buckle
41,8167500.0,gold,Animal skin,Circular,Glass,Buckle
42,2130356.25,steel,Leather,Rectangular,Plexiglass,Fold clasp
43,14286318.75,steel,Leather,Circular,Sapphire crystal,Buckle
44,9521943.75,steel,Leather,Circular,Sapphire crystal,Buckle
45,9998381.25,steel,Rubber,Circular,Sapphire crystal,Buckle
46,11768006.25,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
47,16328193.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
48,5642381.25,steel,Silicon,Circular,Sapphire crystal,Buckle
49,21249112.5,Titanium,Rubber,Circular,Sapphire crystal,Double-fold clasp
50,14633437.5,steel,Leather,Circular,Sapphire crystal,Buckle
51,27129712.5,steel,Leather,Circular,Sapphire crystal,Buckle
52,3593700.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
53,68055693.75,steel,Leather,Rectangular,Sapphire crystal,Fold clasp
54,102093750.0,gold,Animal skin,Circular,Sapphire crystal,Fold clasp
55,48970968.75,steel,Steel,Rectangular,Sapphire crystal,Fold clasp
56,83716875.0,gold,Leather,Rectangular,Sapphire crystal,Fold clasp
57,6983212.5,steel,Steel,Rectangular,Sapphire crystal,Double-fold clasp
58,65442093.75,steel,Animal skin,Circular,Sapphire crystal,Double-fold clasp
59,8378493.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
60,47643750.0,steel,Animal skin,Circular,Sapphire crystal,Double-fold clasp
61,22045443.75,steel,Rubber,Circular,Sapphire crystal,Buckle
62,6105206.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
63,213239812.5,gold,Animal skin,Circular,Sapphire crystal,Buckle
64,1749206.25,steel,Animal skin,Circular,Sapphire crystal,Buckle
65,27218193.75,steel,Leather,Circular,Sapphire crystal,Buckle
66,40367868.75,steel,Leather,Circular,Sapphire crystal,Buckle
67,1102612.5,steel,Animal skin,Circular,Mineral Glass,Buckle
68,204119437.5,gold,Leather,Rectangular,Sapphire crystal,Fold clasp
69,4151812.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
70,1095806.25,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
71,8324043.75,Ceramic,Ceramic,Circular,Sapphire crystal,Fold clasp
72,7146562.5,Bronze,Rubber,Circular,Sapphire crystal,Buckle
73,8902575.0,steel,Leather,Circular,Plexiglass,Buckle
74,10365918.75,steel,Leather,Rectangular,Sapphire crystal,Fold clasp
75,1463343.75,steel,Textile,Circular,Mineral Glass,Buckle
76,13605693.75,steel,Steel,Circular,Plexiglass,Fold clasp
77,54415968.75,gold,Leather,Rectangular,Sapphire crystal,Buckle
78,5846568.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
79,4124587.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
80,22045443.75,steel,Leather,Circular,Sapphire crystal,Double-fold clasp
81,13238156.25,gold,Animal skin,Rectangular,Plexiglass,Buckle
82,88481250.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
83,8453362.5,steel,Leather,Circular,Sapphire crystal,Buckle
84,2048681.25,steel,Animal skin,Circular,Mineral Glass,Buckle
85,2647631.25,steel,Leather,Rectangular,Plexiglass,Buckle
