,Price,Bracelet color,Dial,Gender,Crystal
0,1830881.25,Brown,Grey,Men's watch/Unisex,Mineral Glass
1,13605693.75,Black,Grey,Men's watch/Unisex,Sapphire crystal
2,946068.75,Steel,White,Men's watch/Unisex,Glass
3,2388993.75,Black,Gold,Men's watch/Unisex,Mineral Glass
4,34031250.0,Black,Black,Men's watch/Unisex,Sapphire crystal
5,12135543.75,Black,Blue,Men's watch/Unisex,Sapphire crystal
6,25734431.25,Blue,Blue,Men's watch/Unisex,Sapphire crystal
7,21780000.0,Steel,Black,Men's watch/Unisex,Sapphire crystal
8,80654062.5,Silver,Grey,Men's watch/Unisex,Sapphire crystal
9,14633437.5,Silver,Black,Men's watch/Unisex,Sapphire crystal
10,25795687.5,Brown,Black,Men's watch/Unisex,Sapphire crystal
11,9413043.75,Black,White,Men's watch/Unisex,Sapphire crystal
12,4151812.5,Steel,Green,Men's watch/Unisex,Sapphire crystal
13,3668568.75,Brown,Champagne,Men's watch/Unisex,Mineral Glass
14,4042912.5,Black,Black,Men's watch/Unisex,Sapphire crystal
15,38407668.75,Black,Gold,Men's watch/Unisex,Sapphire crystal
16,1687950.0,Silver,Green,Men's watch/Unisex,Sapphire crystal
17,238218750.0,Blue,Blue,Men's watch/Unisex,Sapphire crystal
18,10903612.5,Black,Black,Men's watch/Unisex,Sapphire crystal
19,11400468.75,White,White,Men's watch/Unisex,Sapphire crystal
20,15885787.5,Steel,Black,Men's watch/Unisex,Sapphire crystal
21,183768750.0,Brown,Gold,Women's watch,Sapphire crystal
22,4424062.5,Black,Black,Men's watch/Unisex,Mineral Glass
23,17219812.5,Black,Black,Men's watch/Unisex,Mineral Glass
24,8780062.5,Blue,Blue,Men's watch/Unisex,Sapphire crystal
25,10209375.0,Brown,Silver,Men's watch/Unisex,Glass
26,6840281.25,Brown,Black,Men's watch/Unisex,Sapphire crystal
27,2130356.25,Black,Gold (solid),Men's watch/Unisex,Plastic
28,14333962.5,Black,Champagne,Men's watch/Unisex,Sapphire crystal
29,40837500.0,Steel,Grey,Men's watch/Unisex,Sapphire crystal
30,1463343.75,Black,Black,Men's watch/Unisex,Mineral Glass
31,22794131.25,Brown,Silver,Men's watch/Unisex,Sapphire crystal
32,2007843.75,Black,Champagne,Women's watch,Sapphire crystal
33,124547568.75,Black,Blue,Men's watch/Unisex,Sapphire crystal
34,5322487.5,Gold,Black,Men's watch/Unisex,Sapphire crystal
35,6983212.5,Brown,Black,Men's watch/Unisex,Sapphire crystal
36,2497893.75,Brown,Black,Men's watch/Unisex,Sapphire crystal
37,54347906.25,Black,Black,Men's watch/Unisex,Sapphire crystal
38,1830881.25,Gold,Green,Men's watch/Unisex,Sapphire crystal
39,5873793.75,Black,Blue,Men's watch/Unisex,Sapphire crystal
40,1347637.5,Brown,Black,Men's watch/Unisex,Mineral Glass
41,8167500.0,Brown,Champagne,Women's watch,Glass
42,2130356.25,Steel,White,Men's watch/Unisex,Plexiglass
43,14286318.75,Blue,Blue,Men's watch/Unisex,Sapphire crystal
44,9521943.75,Brown,Blue,Men's watch/Unisex,Sapphire crystal
45,9998381.25,Black,Blue,Men's watch/Unisex,Sapphire crystal
46,11768006.25,Steel,White,Men's watch/Unisex,Sapphire crystal
47,16328193.75,Steel,Green,Men's watch/Unisex,Sapphire crystal
48,5642381.25,Blue,Blue,Men's watch/Unisex,Sapphire crystal
49,21249112.5,Black,Black,Men's watch/Unisex,Sapphire crystal
50,14633437.5,Black,Black,Men's watch/Unisex,Sapphire crystal
51,27129712.5,Black,Silver,Men's watch/Unisex,Sapphire crystal
52,3593700.0,Silver,Black,Men's watch/Unisex,Sapphire crystal
53,68055693.75,Black,Silver,Men's watch/Unisex,Sapphire crystal
54,102093750.0,Brown,White,Men's watch/Unisex,Sapphire crystal
55,48970968.75,Steel,White,Men's watch/Unisex,Sapphire crystal
56,83716875.0,Brown,Silver,Men's watch/Unisex,Sapphire crystal
57,6983212.5,Silver,White,Men's watch/Unisex,Sapphire crystal
58,65442093.75,Brown,Black,Men's watch/Unisex,Sapphire crystal
59,8378493.75,Steel,Black,Men's watch/Unisex,Sapphire crystal
60,47643750.0,Black,Silver,Men's watch/Unisex,Sapphire crystal
61,22045443.75,Blue,Blue,Men's watch/Unisex,Sapphire crystal
